Symbol,Description,Category,Score
GAST,Gastrin,Protein Coding,57.8
LEF1,Lymphoid Enhancer Binding Factor 1,Protein Coding,57.74
TNFSF10,TNF Superfamily Member 10,Protein Coding,57.51
PTEN,Phosphatase And Tensin Homolog,Protein Coding,57.39
CDK2,Cyclin Dependent Kinase 2,Protein Coding,57.25
PPARD,Peroxisome Proliferator Activated Receptor Delta,Protein Coding,57.24
SMAD2,SMAD Family Member 2,Protein Coding,57.22
CTSB,Cathepsin B,Protein Coding,56.96
AXIN1,Axin 1,Protein Coding,56.96
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,56.79
FASLG,Fas Ligand,Protein Coding,56.39
CEACAM6,CEA Cell Adhesion Molecule 6,Protein Coding,56.28
NME1,NME/NM23 Nucleoside Diphosphate Kinase 1,Protein Coding,56.23
IGF1R,Insulin Like Growth Factor 1 Receptor,Protein Coding,55.85
GALNT12,Polypeptide N-Acetylgalactosaminyltransferase 12,Protein Coding,55.26
KDR,Kinase Insert Domain Receptor,Protein Coding,55.15
PLAUR,"Plasminogen Activator, Urokinase Receptor",Protein Coding,55.06
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,55.05
IFNG,Interferon Gamma,Protein Coding,54.91
ABCB1,ATP Binding Cassette Subfamily B Member 1,Protein Coding,54.51
PTGS1,Prostaglandin-Endoperoxide Synthase 1,Protein Coding,53.95
SMAD7,SMAD Family Member 7,Protein Coding,53.88
AREG,Amphiregulin,Protein Coding,53.52
PTK2,Protein Tyrosine Kinase 2,Protein Coding,53.49
MUC12,"Mucin 12, Cell Surface Associated",Protein Coding,53.39
TNFRSF10B,TNF Receptor Superfamily Member 10b,Protein Coding,53.38
SFRP2,Secreted Frizzled Related Protein 2,Protein Coding,53.38
RAF1,"Raf-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,53.23
NTN1,Netrin 1,Protein Coding,53.19
ANXA5,Annexin A5,Protein Coding,53.09
TGFA,Transforming Growth Factor Alpha,Protein Coding,53.03
RHOA,Ras Homolog Family Member A,Protein Coding,52.82
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,52.66
CDK1,Cyclin Dependent Kinase 1,Protein Coding,52.59
MUC5AC,"Mucin 5AC, Oligomeric Mucus/Gel-Forming",Protein Coding,52.57
NTHL1,Nth Like DNA Glycosylase 1,Protein Coding,52.53
CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,Protein Coding,52.52
TCF4,Transcription Factor 4,Protein Coding,52.48
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,52.16
GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,52.02
PSG2,Pregnancy Specific Beta-1-Glycoprotein 2,Protein Coding,51.66
LGALS3,Galectin 3,Protein Coding,51.5
MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,Protein Coding,51.42
CCNA2,Cyclin A2,Protein Coding,51.3
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,51.08
CDK4,Cyclin Dependent Kinase 4,Protein Coding,51.06
STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,50.87
TMEFF2,Transmembrane Protein With EGF Like And Two Follistatin Like Domains 2,Protein Coding,50.77
RNF43,Ring Finger Protein 43,Protein Coding,50.63
BAK1,BCL2 Antagonist/Killer 1,Protein Coding,50.57
CEACAM1,CEA Cell Adhesion Molecule 1,Protein Coding,50.56
TERT,Telomerase Reverse Transcriptase,Protein Coding,50.55
TGFBR1,Transforming Growth Factor Beta Receptor 1,Protein Coding,50.27
GPX2,Glutathione Peroxidase 2,Protein Coding,50.24
FLT1,Fms Related Receptor Tyrosine Kinase 1,Protein Coding,50.23
FAS,Fas Cell Surface Death Receptor,Protein Coding,50.04
GSTP1,Glutathione S-Transferase Pi 1,Protein Coding,50
HDAC1,Histone Deacetylase 1,Protein Coding,49.95
PTGER4,Prostaglandin E Receptor 4,Protein Coding,49.78
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,49.76
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,49.67
FN1,Fibronectin 1,Protein Coding,49.64
CFLAR,CASP8 And FADD Like Apoptosis Regulator,Protein Coding,49.6
CHEK1,Checkpoint Kinase 1,Protein Coding,49.59
CBS,Cystathionine Beta-Synthase,Protein Coding,49.53
EPHB2,EPH Receptor B2,Protein Coding,48.96
CCNB1,Cyclin B1,Protein Coding,48.78
CDH2,Cadherin 2,Protein Coding,48.73
RUNX3,RUNX Family Transcription Factor 3,Protein Coding,48.73
NQO1,NAD(P)H Quinone Dehydrogenase 1,Protein Coding,48.73
E2F1,E2F Transcription Factor 1,Protein Coding,48.72
MMP1,Matrix Metallopeptidase 1,Protein Coding,48.65
TNF,Tumor Necrosis Factor,Protein Coding,48.52
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,48.5
NF1,Neurofibromin 1,Protein Coding,48.46
IL6,Interleukin 6,Protein Coding,48.41
MMP14,Matrix Metallopeptidase 14,Protein Coding,48.11
MDM2,MDM2 Proto-Oncogene,Protein Coding,48.02
TFF3,Trefoil Factor 3,Protein Coding,47.94
HDAC9,Histone Deacetylase 9,Protein Coding,47.63
DKK1,Dickkopf WNT Signaling Pathway Inhibitor 1,Protein Coding,47.62
TGFB2,Transforming Growth Factor Beta 2,Protein Coding,47.51
SOCS1,Suppressor Of Cytokine Signaling 1,Protein Coding,47.45
TJP1,Tight Junction Protein 1,Protein Coding,47.45
GADD45A,Growth Arrest And DNA Damage Inducible Alpha,Protein Coding,47.44
KLF4,KLF Transcription Factor 4,Protein Coding,47.36
WNT1,Wnt Family Member 1,Protein Coding,47.31
TCF7,Transcription Factor 7,Protein Coding,47.3
UMPS,Uridine Monophosphate Synthetase,Protein Coding,47.25
SNAI1,Snail Family Transcriptional Repressor 1,Protein Coding,47.15
WIF1,WNT Inhibitory Factor 1,Protein Coding,47.09
ELAVL1,ELAV Like RNA Binding Protein 1,Protein Coding,47.04
CTBP1,C-Terminal Binding Protein 1,Protein Coding,46.99
ERBB3,Erb-B2 Receptor Tyrosine Kinase 3,Protein Coding,46.77
REV3L,"REV3 Like, DNA Directed Polymerase Zeta Catalytic Subunit",Protein Coding,46.57
ENPP7,Ectonucleotide Pyrophosphatase/Phosphodiesterase 7,Protein Coding,46.47
CDK6,Cyclin Dependent Kinase 6,Protein Coding,46.44
S100A4,S100 Calcium Binding Protein A4,Protein Coding,46.44
STK11,Serine/Threonine Kinase 11,Protein Coding,46.44
GNAS,GNAS Complex Locus,Protein Coding,46.43
VEGFC,Vascular Endothelial Growth Factor C,Protein Coding,46.32
KRT18,Keratin 18,Protein Coding,46.28
GUCA2B,Guanylate Cyclase Activator 2B,Protein Coding,46.15
CRIPTO,"Cripto, EGF-CFC Family Member",Protein Coding,46.14
CCND3,Cyclin D3,Protein Coding,46.11
ATF3,Activating Transcription Factor 3,Protein Coding,46.07
TNFRSF10A,TNF Receptor Superfamily Member 10a,Protein Coding,46.07
CASP7,Caspase 7,Protein Coding,46.04
EPHA2,EPH Receptor A2,Protein Coding,45.95
LGALS4,Galectin 4,Protein Coding,45.94
MMP11,Matrix Metallopeptidase 11,Protein Coding,45.87
CAV1,Caveolin 1,Protein Coding,45.77
NOTCH1,Notch Receptor 1,Protein Coding,45.62
FOSL1,"FOS Like 1, AP-1 Transcription Factor Subunit",Protein Coding,45.5
ESR2,Estrogen Receptor 2,Protein Coding,45.46
CTSD,Cathepsin D,Protein Coding,45.32
VEGFD,Vascular Endothelial Growth Factor D,Protein Coding,45.29
ABCC1,ATP Binding Cassette Subfamily C Member 1 (ABCC1 Blood Group),Protein Coding,45.18
GAPDH,Glyceraldehyde-3-Phosphate Dehydrogenase,Protein Coding,44.98
ABCG2,ATP Binding Cassette Subfamily G Member 2 (JR Blood Group),Protein Coding,44.92
DNMT3B,DNA Methyltransferase 3 Beta,Protein Coding,44.75
XIAP,X-Linked Inhibitor Of Apoptosis,Protein Coding,44.58
UGT1A1,UDP Glucuronosyltransferase Family 1 Member A1,Protein Coding,44.56
SNAI2,Snail Family Transcriptional Repressor 2,Protein Coding,44.55
PDCD4,Programmed Cell Death 4,Protein Coding,44.5
SP1,Sp1 Transcription Factor,Protein Coding,44.49
CACNA1G,Calcium Voltage-Gated Channel Subunit Alpha1 G,Protein Coding,44.38
WNT2,Wnt Family Member 2,Protein Coding,44.3
KRT8,Keratin 8,Protein Coding,44.09
SELE,Selectin E,Protein Coding,44.08
HSPA5,Heat Shock Protein Family A (Hsp70) Member 5,Protein Coding,44.07
TLR4,Toll Like Receptor 4,Protein Coding,44.03
JAK1,Janus Kinase 1,Protein Coding,43.94
IGFBP3,Insulin Like Growth Factor Binding Protein 3,Protein Coding,43.9
ENG,Endoglin,Protein Coding,43.89
MTHFR,Methylenetetrahydrofolate Reductase,Protein Coding,43.87
PDGFRB,Platelet Derived Growth Factor Receptor Beta,Protein Coding,43.83
BCL2L11,BCL2 Like 11,Protein Coding,43.83
BBC3,BCL2 Binding Component 3,Protein Coding,43.8
NFKBIA,NFKB Inhibitor Alpha,Protein Coding,43.76
FHIT,Fragile Histidine Triad Diadenosine Triphosphatase,Protein Coding,43.73
WNT5A,Wnt Family Member 5A,Protein Coding,43.67
CCND2,Cyclin D2,Protein Coding,43.66
ADAR,Adenosine Deaminase RNA Specific,Protein Coding,43.66
NOS2,Nitric Oxide Synthase 2,Protein Coding,43.22
HMGB1,High Mobility Group Box 1,Protein Coding,43.19
TP73,Tumor Protein P73,Protein Coding,43.11
ITGB1,Integrin Subunit Beta 1,Protein Coding,43.03
THBS1,Thrombospondin 1,Protein Coding,43
TWIST1,Twist Family BHLH Transcription Factor 1,Protein Coding,42.96
JUP,Junction Plakoglobin,Protein Coding,42.8
MTA1,Metastasis Associated 1,Protein Coding,42.79
LRP6,LDL Receptor Related Protein 6,Protein Coding,42.76
SETD2,"SET Domain Containing 2, Histone Lysine Methyltransferase",Protein Coding,42.71
TIMP3,TIMP Metallopeptidase Inhibitor 3,Protein Coding,42.64
MBD4,"Methyl-CpG Binding Domain 4, DNA Glycosylase",Protein Coding,42.63
CA9,Carbonic Anhydrase 9,Protein Coding,42.53
ERCC1,"ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit",Protein Coding,42.44
HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1,Protein Coding,42.42
MCL1,"MCL1 Apoptosis Regulator, BCL2 Family Member",Protein Coding,42.36
WNT3A,Wnt Family Member 3A,Protein Coding,42.36
KRT7,Keratin 7,Protein Coding,42.29
CD80,CD80 Molecule,Protein Coding,42.24
TIMP1,TIMP Metallopeptidase Inhibitor 1,Protein Coding,42.23
IGF2R,Insulin Like Growth Factor 2 Receptor,Protein Coding,42.23
HGF,Hepatocyte Growth Factor,Protein Coding,42.21
ITGA5,Integrin Subunit Alpha 5,Protein Coding,42.21
TLR9,Toll Like Receptor 9,Protein Coding,42.14
ZEB2,Zinc Finger E-Box Binding Homeobox 2,Protein Coding,42.09
SPARC,Secreted Protein Acidic And Cysteine Rich,Protein Coding,42.05
FLT4,Fms Related Receptor Tyrosine Kinase 4,Protein Coding,41.97
FZD10,Frizzled Class Receptor 10,Protein Coding,41.97
HPGD,15-Hydroxyprostaglandin Dehydrogenase,Protein Coding,41.97
IL6R,Interleukin 6 Receptor,Protein Coding,41.86
RASSF1,Ras Association Domain Family Member 1,Protein Coding,41.85
FANCC,FA Complementation Group C,Protein Coding,41.77
KRT19,Keratin 19,Protein Coding,41.74
OGG1,8-Oxoguanine DNA Glycosylase,Protein Coding,41.69
PIK3R2,Phosphoinositide-3-Kinase Regulatory Subunit 2,Protein Coding,41.59
FANCI,FA Complementation Group I,Protein Coding,41.57
CLDN1,Claudin 1,Protein Coding,41.57
MKI67,Marker Of Proliferation Ki-67,Protein Coding,41.51
CSK,C-Terminal Src Kinase,Protein Coding,41.49
ILK,Integrin Linked Kinase,Protein Coding,41.43
HDAC2,Histone Deacetylase 2,Protein Coding,41.37
HNRNPK,Heterogeneous Nuclear Ribonucleoprotein K,Protein Coding,41.36
HLTF,Helicase Like Transcription Factor,Protein Coding,41.3
FUT3,Fucosyltransferase 3 (Lewis Blood Group),Protein Coding,41.24
EGR1,Early Growth Response 1,Protein Coding,41.19
PIK3CB,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta",Protein Coding,41.14
VTN,Vitronectin,Protein Coding,41.13
MUC6,"Mucin 6, Oligomeric Mucus/Gel-Forming",Protein Coding,41.11
IGFBP7,Insulin Like Growth Factor Binding Protein 7,Protein Coding,41.1
IFNA2,Interferon Alpha 2,Protein Coding,40.97
FGF2,Fibroblast Growth Factor 2,Protein Coding,40.93
LOX,Lysyl Oxidase,Protein Coding,40.93
FPGS,Folylpolyglutamate Synthase,Protein Coding,40.9
FUT4,Fucosyltransferase 4,Protein Coding,40.89
IGF1,Insulin Like Growth Factor 1,Protein Coding,40.88
PRKCA,Protein Kinase C Alpha,Protein Coding,40.88
ITGB4,Integrin Subunit Beta 4,Protein Coding,40.86
FASN,Fatty Acid Synthase,Protein Coding,40.79
LAMC2,Laminin Subunit Gamma 2,Protein Coding,40.71
GSTM1,Glutathione S-Transferase Mu 1,Protein Coding,40.71
CLDN7,Claudin 7,Protein Coding,40.68
BAD,BCL2 Associated Agonist Of Cell Death,Protein Coding,40.59
LRP5,LDL Receptor Related Protein 5,Protein Coding,40.59
RAC1,Rac Family Small GTPase 1,Protein Coding,40.58
PLK1,Polo Like Kinase 1,Protein Coding,40.53
CXCR4,C-X-C Motif Chemokine Receptor 4,Protein Coding,40.47
CD274,CD274 Molecule,Protein Coding,40.44
TIAM1,TIAM Rac1 Associated GEF 1,Protein Coding,40.39
TFAP2A,Transcription Factor AP-2 Alpha,Protein Coding,40.28
GRPR,Gastrin Releasing Peptide Receptor,Protein Coding,40.27
PXN,Paxillin,Protein Coding,40.22
WRN,WRN RecQ Like Helicase,Protein Coding,40.1
ETS1,"ETS Proto-Oncogene 1, Transcription Factor",Protein Coding,40.03
PTPN13,Protein Tyrosine Phosphatase Non-Receptor Type 13,Protein Coding,39.97
TXN,Thioredoxin,Protein Coding,39.92
PTTG1,"PTTG1 Regulator Of Sister Chromatid Separation, Securin",Protein Coding,39.89
UGT1A6,UDP Glucuronosyltransferase Family 1 Member A6,Protein Coding,39.89
CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,Protein Coding,39.76
PKM,Pyruvate Kinase M1/2,Protein Coding,39.75
BMP6,Bone Morphogenetic Protein 6,Protein Coding,39.71
AKT2,AKT Serine/Threonine Kinase 2,Protein Coding,39.7
CYP27B1,Cytochrome P450 Family 27 Subfamily B Member 1,Protein Coding,39.69
GRB2,Growth Factor Receptor Bound Protein 2,Protein Coding,39.65
STUB1,STIP1 Homology And U-Box Containing Protein 1,Protein Coding,39.62
TNFRSF1A,TNF Receptor Superfamily Member 1A,Protein Coding,39.6
CYP1A1,Cytochrome P450 Family 1 Subfamily A Member 1,Protein Coding,39.57
CXCL12,C-X-C Motif Chemokine Ligand 12,Protein Coding,39.52
RB1,RB Transcriptional Corepressor 1,Protein Coding,39.47
GZMB,Granzyme B,Protein Coding,39.32
DVL1,Dishevelled Segment Polarity Protein 1,Protein Coding,39.25
CASR,Calcium Sensing Receptor,Protein Coding,39.24
GRP,Gastrin Releasing Peptide,Protein Coding,39.23
DHFR,Dihydrofolate Reductase,Protein Coding,39.22
TGFB3,Transforming Growth Factor Beta 3,Protein Coding,39.17
FSCN1,Fascin Actin-Bundling Protein 1,Protein Coding,39.15
FADD,Fas Associated Via Death Domain,Protein Coding,39.04
HLA-A,"Major Histocompatibility Complex, Class I, A",Protein Coding,38.99
BIRC3,Baculoviral IAP Repeat Containing 3,Protein Coding,38.95
CALR,Calreticulin,Protein Coding,38.94
NTS,Neurotensin,Protein Coding,38.93
DNMT3A,DNA Methyltransferase 3 Alpha,Protein Coding,38.92
TLR5,Toll Like Receptor 5,Protein Coding,38.85
XRCC5,X-Ray Repair Cross Complementing 5,Protein Coding,38.81
NAT2,N-Acetyltransferase 2,Protein Coding,38.8
CDK8,Cyclin Dependent Kinase 8,Protein Coding,38.75
CTNND1,Catenin Delta 1,Protein Coding,38.71
XRCC1,X-Ray Repair Cross Complementing 1,Protein Coding,38.69
ERBB4,Erb-B2 Receptor Tyrosine Kinase 4,Protein Coding,38.67
IRS1,Insulin Receptor Substrate 1,Protein Coding,38.61
CD82,CD82 Molecule,Protein Coding,38.6
CDC25C,Cell Division Cycle 25C,Protein Coding,38.59
ANXA2,Annexin A2,Protein Coding,38.59
IGFBP2,Insulin Like Growth Factor Binding Protein 2,Protein Coding,38.56
NAT1,N-Acetyltransferase 1,Protein Coding,38.47
CCK,Cholecystokinin,Protein Coding,38.44
FZD7,Frizzled Class Receptor 7,Protein Coding,38.42
ICAM1,Intercellular Adhesion Molecule 1,Protein Coding,38.4
PRKACA,Protein Kinase CAMP-Activated Catalytic Subunit Alpha,Protein Coding,38.35
CLDN4,Claudin 4,Protein Coding,38.28
CSNK2A1,Casein Kinase 2 Alpha 1,Protein Coding,38.27
CXCR2,C-X-C Motif Chemokine Receptor 2,Protein Coding,38.2
CSNK1A1,Casein Kinase 1 Alpha 1,Protein Coding,38.19
CSNK2A2,Casein Kinase 2 Alpha 2,Protein Coding,38.15
TIMP2,TIMP Metallopeptidase Inhibitor 2,Protein Coding,38.07
SHC1,SHC Adaptor Protein 1,Protein Coding,38.06
COX5A,Cytochrome C Oxidase Subunit 5A,Protein Coding,37.83
RRM2,Ribonucleotide Reductase Regulatory Subunit M2,Protein Coding,37.8
SUZ12,SUZ12 Polycomb Repressive Complex 2 Subunit,Protein Coding,37.71
ITGA2,Integrin Subunit Alpha 2,Protein Coding,37.69
CXCL1,C-X-C Motif Chemokine Ligand 1,Protein Coding,37.62
CCN4,Cellular Communication Network Factor 4,Protein Coding,37.61
DIABLO,Diablo IAP-Binding Mitochondrial Protein,Protein Coding,37.59
LGALS1,Galectin 1,Protein Coding,37.58
IL2,Interleukin 2,Protein Coding,37.53
HSPA8,Heat Shock Protein Family A (Hsp70) Member 8,Protein Coding,37.53
HPRT1,Hypoxanthine Phosphoribosyltransferase 1,Protein Coding,37.52
XRCC6,X-Ray Repair Cross Complementing 6,Protein Coding,37.52
JAK2,Janus Kinase 2,Protein Coding,37.51
IFI27,Interferon Alpha Inducible Protein 27,Protein Coding,37.5
NRP2,Neuropilin 2,Protein Coding,37.47
SERPINB5,Serpin Family B Member 5,Protein Coding,37.43
IL1B,Interleukin 1 Beta,Protein Coding,37.38
IL10,Interleukin 10,Protein Coding,37.38
MMP12,Matrix Metallopeptidase 12,Protein Coding,37.35
MAP2K4,Mitogen-Activated Protein Kinase Kinase 4,Protein Coding,37.31
MAPRE1,Microtubule Associated Protein RP/EB Family Member 1,Protein Coding,37.21
ALB,Albumin,Protein Coding,37.21
IL15,Interleukin 15,Protein Coding,37.11
